#,title,text,embedding_dims,embedding_preview (5 số đầu)
1,HUIT (cổng tuyển sinh chính thức),"Trường ĐH Công nghiệp Thực phẩm TP.HCM nhận hồ sơ xét tuyển học bạ lớp 12 từ ngày 25/5 Theo thông tin từ Trường Đại học Công nghiệp Thực phẩm TP.HCM (Tên viết tắt HUFI, mã trường DCT), năm 2020 trường xét tuyển 3.500 chỉ tiêu bằng 4 phương thức. Năm nay**, Trường Đại học Công nghiệp Thực phẩm TP.HCM dự kiến tuyển thêm 2 ngành học mới gồm Ngôn ngữ Trung Quốc và Quản trị khách sạn, nâng tổng số ngành của HUFI lên 28 ngành.",384,"0.1865, 0.2096, 0.0729, -0.0376, 0.0451 ..."
2,HUIT (cổng tuyển sinh chính thức),"Theo đó, thí sinh có thể nộp hồ sơ bằng điểm học bạ lớp 12 theo tổ hợp môn. Điều kiện xét tuyển: thí sinh phải tốt nghiệp THPT và tổng điểm trung bình cả năm của 03 môn trong tổ hợp môn xét tuyển lớp 12 đạt từ **18 điểm** trở lên. **Điểm xét tuyển** bằng tổng điểm trung bình cả năm lớp 12 môn X cộng Điểm trung bình cả năm lớp 12 môn Y cộng Điểm trung bình cả năm lớp 12 môn Z cộng điểm ưu tiên.",384,"0.1195, 0.1747, -0.0108, -0.2011, 0.1144 ..."
3,HUIT (cổng tuyển sinh chính thức),Những điều thí sinh cần biết khi xét tuyển học bạ Phương thức xét tuyển học bạ như thế nào? điều kiện và hồ sơ xét tuyển ra sao? thời gian xét tuyển và điểm thi xét tuyển như thế nào? Chắc hẳng rất nhiều bạn sẽ thắc mắc. Vậy hãy cùng HUFI giải đáp các thắc mắc đó nhé! Xét tuyển học bạ như thế nào?,384,"0.1536, 0.0953, -0.1186, -0.0389, -0.0599 ..."
4,HUIT (cổng tuyển sinh chính thức),"Phương thức xét tuyển học bạ dần được nhiều trường đại học, cao đẳng áp dụng. Vậy xét tuyển học bạ như thế nào? Tùy vào điều kiện, tổ hợp môn xét tuyển của ngành mà mỗi trường sẽ đưa ra các điều kiện, điểm xét tuyển khác nhau. Phương thức xét tuyển học bạ được các trường đưa ra và áp dụng nhằm đánh giá năng lực học sinh một cách toàn diện.Thay vì đánh giá học sinh dựa trên 1 kết quả duy nhất là tốt nghiệp – đại học.",384,"0.1089, 0.1398, -0.0330, -0.0471, 0.0267 ..."
5,HUIT (cổng tuyển sinh chính thức),"Vì vậy để trả lời cho câu hỏi : Xét tuyển học bạ như thế nào? các em thí sinh có thể hiểu đó là xét tuyển dựa trên kết quả thi tốt nghiệp THPT và học bạ của các lớp có thể 10, 11, 12 tùy vào từng ngành, từng trường mà các em đăng ký xét tuyển.** **Ví dụ: Trường Đại học Công nghiệp Thực phẩm TP.HCM có điều kiện xét tuyển là thí sinh phải có điểm xét tuyển của các khối xét tuyển, của năm lớp 10, 11 và học kỳ 1 của lớp 12 cộng lại và chia đều cho 3 mà đạt từ 18 điểm trở lên (chưa bao gồm điểm ưu tiên) hoặc điểm xét tuyển các khối, của lớp 12 đạt từ 18 điểm trở lên (chưa bao gồm điểm ưu tiên).",384,"0.2936, 0.1643, 0.0302, -0.1231, -0.0405 ..."
6,HUIT (cổng tuyển sinh chính thức),"Điều kiện và phương thức xét tuyển học bạ như thế nào? Dựa vào hình thức xét tuyển, ngành mà các em học sinh đăng ký xét tuyển mà các trường sẽ đưa ra các điều kiện và phương thức xét tuyển khác nhau. Dựa trên điểm thi tốt nghiệp THPT quốc gia, hoặc điểm tổng các môn trong tổ hợp môn xét tuyển phải đạt ở mốc điểm nhất định.",384,"0.1696, 0.1734, -0.0688, -0.1420, -0.0739 ..."
7,HUIT (cổng tuyển sinh chính thức),"Điều kiện xét tuyển học bạ phải phù hợp với chất lượng đào tạo đầu vào của trường, phù hợp với quy định xét tuyển của Bộ Giáo dục và Đào tạo. Để bảo đảm chất lượng đầu vào, đầu ra của trường. Ở Trường Đại học Công nghiệp Thực phẩm TP.HCM có 02 cách thức xét học bạ như sau: (1)** **Tuyển sinh dựa trên điểm trung bình cộng của tổ hợp môn xét tuyển của 3 năm lớp 10, lớp 11 và học kỳ 1 lớp 12 đạt từ 18 điểm trở lên** **và** **(2) tổng điểm lớp 12 theo tổ hợp môn xét tuyển, ứng với từng ngành xét tuyển đạt từ 18 điểm trở lên. Hồ sơ xét học bạ vào đại học như thế nào?",384,"0.2873, 0.1727, 0.0728, -0.0885, -0.0543 ..."
8,HUIT (cổng tuyển sinh chính thức),"Đơn giản, dễ dàng không phức tạp như xét tuyển nguyện vọng. Các em đăng ký hồ sơ xét tuyển học bạ chỉ cần photo công chứng một số giấy tờ cơ bản sau: Giấy chứng nhận tốt nghiệp (nếu chưa có, sử dụng giấy chứng nhận tốt nghiệp tạm thời, hoặc sẽ bổ sung sau) Chứng minh nhân dân hoặc Thẻ căn cước công dân (Photo công chứng). _Thí sinh nộp hồ sơ xét tuyển học bạ vào Trường Đại học Công nghiệp Thực phẩm TP.HCM_ Thời gian xét học bạ vào đại học như thế nào?",384,"0.1088, 0.2687, -0.0508, -0.0445, 0.1005 ..."
9,HUIT (cổng tuyển sinh chính thức),"Đối vời thời gian đăng ký xét tuyển học bạ mỗi năm sẽ khác nhau. Tùy vào điều kiện, phương thức xét tuyển, thời gian công bố điểm thi tốt nghiệp THPT mà các trường cao đẳng, đại học sẽ đưa ra các mốc thời gian xét tuyển khác nhau.",384,"0.1956, 0.1419, -0.1002, -0.0454, -0.0105 ..."
10,HUIT (cổng tuyển sinh chính thức),"Vì vậy, các em thí sinh có thể cập nhật tin tức tại các các trang website của trường, để có thông tin chính xác nhất về thời gian xét tuyển học bạ nhé. Thời gian xét tuyển học bạ hiện chưa xác định được mốc thời gian cụ thể, bởi nó phụ thuộc vào điều kiện, thời gian tuyển sinh của các trường. Đối với** **Trường Đại học Công nghiệp Thực phẩm TP.HCM** **thời gian xét tuyển học bạ 3 năm THPT** **từ** **ngày 01/3/2021 đến 25/4/2021** **. Còn phương thức xét tuyển học bạ cả năm lớp 12 Nhà trường dự kiến nhận hồ sơ** **từ ngày 17/5** **. Điểm chuẩn xét học bạ vào đại học như thế nào?",384,"-0.0117, 0.1204, 0.0023, -0.2137, 0.0339 ..."
