#,title,text,embedding_dims,embedding_preview (5 số đầu)
1,Ngành Trí tuệ nhân tạo (Mã ngành: 7480107) - Trường Đại học Công Thương TP.HCM - Tuyển Sinh HUIT (HUIT Cổng tuyển sinh chính thức),"# Ngành Trí tuệ nhân tạo (Mã ngành: 7480107)
**MÃ NGÀNH:** `7480107` | **KHOA QUẢN LÝ:** Khoa Công nghệ thông tin
**THỜI GIAN ĐÀO TẠO:** 3.5 năm (153 tín chỉ - Cử nhân / Kỹ sư) | **HỌC PHÍ:** 14 - 16 triệu đồng/học kỳ (540.000đ - 700.000đ/tín chỉ)
## 1. TỔ HỢP MÔN XÉT TUYỂN
- A00 (Toán, Lý, Hóa)
- C01 (Văn, Toán, Lý)
- D01 (Toán, Văn, Anh)
- X26 (Toán, Anh, Tin)
## 2. MỚI NHẤT: ĐIỂM SÀN & ĐIỂM CHUẨN THAM KHẢO
- **Điểm sàn xét tuyển THPT 2025 (Chính thức)**: `16.00 điểm`
- **Điểm sàn Đánh giá năng lực ĐHQG-HCM 2025**: `600 điểm`
- Điểm trúng tuyển THPT năm 2024: `22.50 điểm`
- Điểm trúng tuyển Học bạ năm 2024: `24.00 điểm`
## 3. MÔ TẢ NGÀNH & MỤC TIÊU ĐÀO TẠO",384,"-0.1305, -0.1231, -0.0303, -0.2030, -0.0865 ..."
2,Ngành Trí tuệ nhân tạo (Mã ngành: 7480107) - Trường Đại học Công Thương TP.HCM - Tuyển Sinh HUIT (HUIT Cổng tuyển sinh chính thức),"Đào tạo kiến thức nền tảng và chuyên sâu về Toán học cho AI, Machine Learning, Deep Learning, Xử lý ngôn ngữ tự nhiên (NLP), Thị giác máy tính (Computer Vision), Hệ thống đa tác tử, Big Data, LLM và AI Tạo sinh (Generative AI).
## 4. CƠ HỘI NGHỀ NGHIỆP VÀ VỊ TRÍ LÀM VIỆC SAU TỐT NGHIỆP
- Kỹ sư phát triển ứng dụng Trí tuệ nhân tạo (AI Engineer)
- Chuyên viên Phân tích và Xử lý Dữ liệu (Data Analyst / Data Scientist)
- Kỹ sư Học máy và Deep Learning (Machine Learning Engineer)
- Chuyên viên Thiết kế và Triển khai Giải pháp AI / Chatbot trong doanh nghiệp
- Nghiên cứu viên R&D tại các tập đoàn công nghệ và trung tâm dữ liệu
## 5. PHƯƠNG THỨC XÉT TUYỂN VÀ HỌC BỔNG
- **Phương thức 1**: Xét theo kết quả kỳ thi tốt nghiệp THPT 2025 - 2026.",384,"0.0243, -0.1340, 0.0105, -0.0689, -0.0370 ..."
3,Ngành Trí tuệ nhân tạo (Mã ngành: 7480107) - Trường Đại học Công Thương TP.HCM - Tuyển Sinh HUIT (HUIT Cổng tuyển sinh chính thức),"- **Phương thức 2**: Xét theo học bạ THPT (Trung bình cộng 3 môn tổ hợp lớp 10, 11 và HK1 lớp 12 hoặc cả năm lớp 12 >= 18.0 - 20.0 điểm).
- **Phương thức 3**: Xét theo điểm thi Đánh giá Năng lực do ĐHQG-HCM tổ chức.
- **Phương thức 4**: Xét tuyển thẳng theo quy chế của Bộ GD&ĐT.
- **Phương thức 5**: Xét điểm ĐGNL chuyên biệt Trường ĐH Sư phạm TP.HCM kết hợp học bạ.
- **Chính sách học bổng**: HUIT dành hàng tỷ đồng học bổng khuyến khích học tập, học bổng 50% học kỳ 1 cho các ngành ưu tiên, hỗ trợ tân sinh viên vay vốn và khám sức khỏe miễn phí.",384,"0.1163, 0.2036, 0.1102, -0.1221, 0.0149 ..."
4,Ngành Công nghệ thông tin (Mã ngành: 7480201) - Trường Đại học Công Thương TP.HCM - Tuyển Sinh HUIT (HUIT Cổng tuyển sinh chính thức),"# Ngành Công nghệ thông tin (Mã ngành: 7480201)
**MÃ NGÀNH:** `7480201` | **KHOA QUẢN LÝ:** Khoa Công nghệ thông tin
**THỜI GIAN ĐÀO TẠO:** 3.5 - 4 năm (150 tín chỉ) | **HỌC PHÍ:** 14 - 16 triệu đồng/học kỳ
## 1. TỔ HỢP MÔN XÉT TUYỂN
- A00 (Toán, Lý, Hóa)
- A01 (Toán, Lý, Anh)
- D01 (Toán, Văn, Anh)
- D07 (Toán, Hóa, Anh)
## 2. MỚI NHẤT: ĐIỂM SÀN & ĐIỂM CHUẨN THAM KHẢO
- **Điểm sàn xét tuyển THPT 2025 (Chính thức)**: `16.00 điểm`
- **Điểm sàn Đánh giá năng lực ĐHQG-HCM 2025**: `600 điểm`
- Điểm trúng tuyển THPT năm 2024: `22.50 điểm`
- Điểm trúng tuyển Học bạ năm 2024: `24.50 điểm`
## 3. MÔ TẢ NGÀNH & MỤC TIÊU ĐÀO TẠO",384,"-0.1474, 0.0214, -0.0492, -0.2145, -0.0567 ..."
5,Ngành Công nghệ thông tin (Mã ngành: 7480201) - Trường Đại học Công Thương TP.HCM - Tuyển Sinh HUIT (HUIT Cổng tuyển sinh chính thức),"Trang bị kiến thức lập trình phần mềm, phát triển web/mobile, quản trị mạng, điện toán đám mây, kiến trúc hệ thống thông tin, cơ sở dữ liệu và an ninh mạng.
## 4. CƠ HỘI NGHỀ NGHIỆP VÀ VỊ TRÍ LÀM VIỆC SAU TỐT NGHIỆP
- Lập trình viên Software / Web / Mobile Developer
- Kỹ sư Điện toán đám mây & DevOps
- Chuyên viên Kiểm thử phần mềm (QA/QC Engineer)
- Quản trị viên Hệ thống và Cơ sở dữ liệu (DBA)
- Kỹ sư Giải pháp Công nghệ thông tin
## 5. PHƯƠNG THỨC XÉT TUYỂN VÀ HỌC BỔNG
- **Phương thức 1**: Xét theo kết quả kỳ thi tốt nghiệp THPT 2025 - 2026.
- **Phương thức 2**: Xét theo học bạ THPT (Trung bình cộng 3 môn tổ hợp lớp 10, 11 và HK1 lớp 12 hoặc cả năm lớp 12 >= 18.0 - 20.0 điểm).",384,"-0.0387, -0.1157, -0.1572, -0.1264, 0.0332 ..."
6,Ngành Công nghệ thông tin (Mã ngành: 7480201) - Trường Đại học Công Thương TP.HCM - Tuyển Sinh HUIT (HUIT Cổng tuyển sinh chính thức),"- **Phương thức 3**: Xét theo điểm thi Đánh giá Năng lực do ĐHQG-HCM tổ chức.
- **Phương thức 4**: Xét tuyển thẳng theo quy chế của Bộ GD&ĐT.
- **Phương thức 5**: Xét điểm ĐGNL chuyên biệt Trường ĐH Sư phạm TP.HCM kết hợp học bạ.
- **Chính sách học bổng**: HUIT dành hàng tỷ đồng học bổng khuyến khích học tập, học bổng 50% học kỳ 1 cho các ngành ưu tiên, hỗ trợ tân sinh viên vay vốn và khám sức khỏe miễn phí.",384,"-0.0512, 0.1451, 0.0625, -0.1150, 0.0675 ..."
7,Ngành An toàn thông tin (Mã ngành: 7480202) - Trường Đại học Công Thương TP.HCM - Tuyển Sinh HUIT (HUIT Cổng tuyển sinh chính thức),"# Ngành An toàn thông tin (Mã ngành: 7480202)
**MÃ NGÀNH:** `7480202` | **KHOA QUẢN LÝ:** Khoa Công nghệ thông tin
**THỜI GIAN ĐÀO TẠO:** 3.5 - 4 năm (150 tín chỉ) | **HỌC PHÍ:** 14 - 16 triệu đồng/học kỳ
## 1. TỔ HỢP MÔN XÉT TUYỂN
- A00 (Toán, Lý, Hóa)
- A01 (Toán, Lý, Anh)
- D01 (Toán, Văn, Anh)
- D07 (Toán, Hóa, Anh)
## 2. MỚI NHẤT: ĐIỂM SÀN & ĐIỂM CHUẨN THAM KHẢO
- **Điểm sàn xét tuyển THPT 2025 (Chính thức)**: `16.00 điểm`
- **Điểm sàn Đánh giá năng lực ĐHQG-HCM 2025**: `600 điểm`
- Điểm trúng tuyển THPT năm 2024: `21.50 điểm`
- Điểm trúng tuyển Học bạ năm 2024: `23.50 điểm`
## 3. MÔ TẢ NGÀNH & MỤC TIÊU ĐÀO TẠO",384,"-0.1298, 0.0505, -0.0960, -0.1472, -0.0687 ..."
8,Ngành An toàn thông tin (Mã ngành: 7480202) - Trường Đại học Công Thương TP.HCM - Tuyển Sinh HUIT (HUIT Cổng tuyển sinh chính thức),"Đào tạo chuyên sâu về bảo mật mạng, mật mã học, kiểm thử xâm nhập (Penetration Testing), điều tra vết kỹ thuật số (Digital Forensics), bảo vệ hệ thống thông tin doanh nghiệp.
## 4. CƠ HỘI NGHỀ NGHIỆP VÀ VỊ TRÍ LÀM VIỆC SAU TỐT NGHIỆP
- Chuyên viên Bảo mật Hệ thống (Cyber Security Specialist)
- Chuyên viên Kiểm thử Xâm nhập (Pentester / Ethical Hacker)
- Kỹ sư An toàn Mạng & SOC Analyst
- Chuyên viên Điều tra Tội phạm Kỹ thuật số (Digital Forensics)
- Tư vấn An toàn Thông tin Doanh nghiệp
## 5. PHƯƠNG THỨC XÉT TUYỂN VÀ HỌC BỔNG
- **Phương thức 1**: Xét theo kết quả kỳ thi tốt nghiệp THPT 2025 - 2026.
- **Phương thức 2**: Xét theo học bạ THPT (Trung bình cộng 3 môn tổ hợp lớp 10, 11 và HK1 lớp 12 hoặc cả năm lớp 12 >= 18.0 - 20.0 điểm).",384,"0.0009, 0.1655, -0.2256, -0.0826, 0.0630 ..."
9,Ngành Khoa học dữ liệu (Mã ngành: 7460108) - Trường Đại học Công Thương TP.HCM - Tuyển Sinh HUIT (HUIT Cổng tuyển sinh chính thức),"# Ngành Khoa học dữ liệu (Mã ngành: 7460108)
**MÃ NGÀNH:** `7460108` | **KHOA QUẢN LÝ:** Khoa Công nghệ thông tin
**THỜI GIAN ĐÀO TẠO:** 3.5 - 4 năm (150 tín chỉ) | **HỌC PHÍ:** 14 - 16 triệu đồng/học kỳ
## 1. TỔ HỢP MÔN XÉT TUYỂN
- A00 (Toán, Lý, Hóa)
- A01 (Toán, Lý, Anh)
- D01 (Toán, Văn, Anh)
- D07 (Toán, Hóa, Anh)
## 2. MỚI NHẤT: ĐIỂM SÀN & ĐIỂM CHUẨN THAM KHẢO
- **Điểm sàn xét tuyển THPT 2025 (Chính thức)**: `16.00 điểm`
- **Điểm sàn Đánh giá năng lực ĐHQG-HCM 2025**: `600 điểm`
- Điểm trúng tuyển THPT năm 2024: `21.00 điểm`
- Điểm trúng tuyển Học bạ năm 2024: `23.00 điểm`
## 3. MÔ TẢ NGÀNH & MỤC TIÊU ĐÀO TẠO",384,"-0.1427, 0.0855, -0.1086, -0.1661, -0.0654 ..."
10,Ngành Khoa học dữ liệu (Mã ngành: 7460108) - Trường Đại học Công Thương TP.HCM - Tuyển Sinh HUIT (HUIT Cổng tuyển sinh chính thức),"Chuyên về thu thập, làm sạch, khai phá dữ liệu lớn (Big Data Mining), thống kê ứng dụng, xây dựng thuật toán dự báo kinh doanh và trí tuệ kinh doanh (Business Intelligence).
## 4. CƠ HỘI NGHỀ NGHIỆP VÀ VỊ TRÍ LÀM VIỆC SAU TỐT NGHIỆP
- Chuyên viên Dữ liệu (Data Scientist)
- Kỹ sư Dữ liệu (Data Engineer)
- Chuyên viên Trí tuệ Kinh doanh (BI Analyst)
- Chuyên viên Phân tích Thị trường và Hành vi Khách hàng
## 5. PHƯƠNG THỨC XÉT TUYỂN VÀ HỌC BỔNG
- **Phương thức 1**: Xét theo kết quả kỳ thi tốt nghiệp THPT 2025 - 2026.
- **Phương thức 2**: Xét theo học bạ THPT (Trung bình cộng 3 môn tổ hợp lớp 10, 11 và HK1 lớp 12 hoặc cả năm lớp 12 >= 18.0 - 20.0 điểm).
- **Phương thức 3**: Xét theo điểm thi Đánh giá Năng lực do ĐHQG-HCM tổ chức.",384,"-0.0860, 0.1119, -0.0361, -0.0728, 0.0263 ..."
